"DeploymentID","TimeStamp","Temp","pH","pHmv","Cond","DOpct","DOmgl","DOgain","Turbidity","Depth","KnownInvaildValue"
"2","2018-09-19 12:15:00","22.31","5.76","3.4","1.15","414.5","35.91","-999","12.9","3.51","1"
"2","2018-09-19 12:00:00","22.3","5.75","3.8","1.123","999.9","999.99","-999","12.3","3.504","1"
"2","2018-09-19 11:45:00","22.25","5.71","5.5","1.126","535.1","46.42","-999","12.3","3.538","1"
"2","2018-09-19 11:30:00","22.25","5.78","2.5","1.094","999.9","159.52","-999","18.9","3.539","1"
"2","2018-09-19 11:15:00","22.22","5.81","1","1.082","999.9","999.99","-999","17","3.534","1"
"2","2018-09-19 11:00:00","22.22","5.76","3.1","1.098","-21.4","-1.86","-999","19.1","3.537","1"
"2","2018-09-19 10:45:00","22.04","5.75","3.6","1.082","-99.9","-99.99","-999","14","3.529","1"
"2","2018-09-19 10:30:00","22.16","5.8","1.7","1.067","-99.9","-99.99","-999","10","3.527","1"
"2","2018-09-19 10:15:00","22.21","5.88","-2","1.058","-99.9","-20.44","-999","11.3","3.525","1"
"2","2018-09-19 10:00:00","22.16","5.88","-1.6","1.055","782.2","67.99","-999","25.4","3.529","1"
"2","2018-09-19 09:45:00","22.12","5.85","-0.6","1.049","999.9","999.99","-999","16.1","3.52","1"
"2","2018-09-19 09:30:00","22.16","5.93","-3.9","1.039","913.3","79.39","-999","11.2","3.509","1"
"2","2018-09-19 09:15:00","22.19","5.94","-4.4","1.041","999.9","170.47","-999","12.7","3.504","1"
"2","2018-09-19 09:00:00","22.22","5.92","-3.5","1.044","5.3","0.46","-999","22.9","3.498","1"
"2","2018-09-19 08:45:00","22.18","5.87","-1.6","1.049","331.6","28.81","-999","20.6","3.499","1"
"2","2018-09-19 08:30:00","22.15","6","-6.8","1.048","-99.9","-99.99","-999","18.9","3.494","1"
"2","2018-09-19 08:15:00","22.2","6.03","-7.9","1.047","999.9","999.99","-999","33.4","3.489","1"
"2","2018-09-19 08:00:00","22.17","6.04","-8.4","1.044","999.9","539.91","-999","35.4","3.487","1"
"2","2018-09-19 07:45:00","22.23","6.04","-8.5","1.043","45.8","3.97","-999","25.9","3.49","1"
"2","2018-09-19 07:30:00","22.21","6.01","-7.4","1.072","56","4.87","-999","24.5","3.481","1"
"2","2018-09-19 07:15:00","22.23","6.04","-8.7","1.068","-50","-4.34","-999","34.8","3.477","1"
"2","2018-09-19 07:00:00","22.28","6.02","-7.8","1.06","-99.9","-25.2","-999","28","3.471","1"
"2","2018-09-19 06:45:00","22.22","5.98","-6.1","1.063","31.4","2.73","-999","25.2","3.465","1"
"2","2018-09-19 06:30:00","22.18","6.01","-7.2","1.043","26.4","2.29","-999","24.6","3.461","1"
"2","2018-09-19 06:15:00","22.27","5.98","-5.9","1.043","12.7","1.1","-999","33.9","3.456","1"
"2","2018-09-19 06:00:00","22.23","6.01","-7.2","1.044","999.9","307.19","-999","34.2","3.454","1"
"2","2018-09-19 05:45:00","22.19","6.02","-7.8","1.052","47.8","4.15","-999","27","3.447","1"
"2","2018-09-19 05:30:00","22.23","5.98","-6","1.06","25.9","2.25","-999","37","3.441","1"
"2","2018-09-19 05:15:00","22.28","5.98","-6.1","1.056","999.9","449.46","-999","13.1","3.422","1"
"2","2018-09-19 05:00:00","22.28","5.95","-4.7","1.05","557.4","48.34","-999","32.6","3.421","1"
"2","2018-09-19 04:45:00","22.24","5.98","-6.1","1.045","163","14.15","-999","24.7","3.418","1"
"2","2018-09-19 04:30:00","22.26","5.98","-5.8","1.041","60.5","5.25","-999","33.9","3.41","1"
"2","2018-09-19 04:15:00","22.25","6","-6.9","1.032","-59.2","-5.14","-999","26.6","3.407","1"
"2","2018-09-19 04:00:00","22.25","6.03","-8.1","1.032","196.2","17.03","-999","32.1","3.403","1"
"2","2018-09-19 03:45:00","22.17","6","-6.9","1.029","-76.1","-6.61","-999","31.3","3.407","1"
"2","2018-09-19 03:30:00","22.21","5.99","-6.4","1.035","-99.9","-99.99","-999","30.2","3.412","1"
"2","2018-09-19 03:15:00","22.21","5.98","-6","1.038","9.8","0.85","-999","25.2","3.412","1"
"2","2018-09-19 03:00:00","22.23","6","-6.7","1.034","29.4","2.55","-999","30.9","3.413","1"
"2","2018-09-19 02:45:00","22.16","5.97","-5.7","1.03","-99.9","-12.69","-999","26.6","3.412","1"
"2","2018-09-19 02:30:00","22.21","5.97","-5.6","1.03","-99.9","-36.91","-999","24.5","3.414","1"
"2","2018-09-19 02:15:00","22.21","5.94","-4.3","1.028","17.2","1.49","-999","16.4","3.411","1"
"2","2018-09-19 02:00:00","22.13","5.99","-6.4","1.031","58","5.05","-999","30","3.401","1"
"2","2018-09-19 01:45:00","22.23","6.02","-7.5","1.028","-70.8","-6.15","-999","30.6","3.399","1"
"2","2018-09-19 01:30:00","22.21","6","-6.9","1.037","14.5","1.26","-999","27.4","3.401","1"
"2","2018-09-19 01:15:00","22.21","6.06","-9.3","1.031","16","1.39","-999","25.3","3.399","1"
"2","2018-09-19 01:00:00","22.22","6.03","-8","1.022","17.4","1.51","-999","29.3","3.398","1"
"2","2018-09-19 00:45:00","22.17","6.07","-9.9","1.02","-99.9","-99.99","-999","31.3","3.395","1"
"2","2018-09-19 00:30:00","22.16","6.08","-10.1","1.02","13.3","1.16","-999","24.4","3.397","1"
"2","2018-09-19 00:15:00","22.2","6.12","-11.7","1.011","-99.9","-52.75","-999","23.9","3.396","1"
"2","2018-09-19 00:00:00","22.23","6.11","-11.4","1.009","44.7","3.88","-999","28.7","3.395","1"
"2","2018-09-18 23:45:00","22.17","6.12","-11.9","1.011","-99.9","-99.99","-999","30.4","3.398","1"
"2","2018-09-18 23:30:00","22.22","6.11","-11.3","1.008","19.2","1.67","-999","27.5","3.399","1"
"2","2018-09-18 23:15:00","22.18","6.1","-11.3","1.007","2.4","0.21","-999","23.4","3.395","1"
"2","2018-09-18 23:00:00","22.21","6.11","-11.4","1.009","-69.7","-6.05","-999","27.1","3.395","1"
"2","2018-09-18 22:45:00","22.2","6.12","-11.9","1.006","7.6","0.66","-999","17.4","3.4","1"
"2","2018-09-18 22:30:00","22.19","6.12","-11.9","1.005","-97.6","-8.479999","-999","25.6","3.395","1"
"2","2018-09-18 22:15:00","22.16","6.1","-11.2","1","-2.2","-0.19","-999","31.6","3.399","1"
"2","2018-09-18 22:00:00","22.23","6.14","-12.8","1.004","10.8","0.94","-999","26.2","3.398","1"
"2","2018-09-18 21:45:00","22.17","6.16","-13.8","1.004","3.7","0.32","-999","31.4","3.4","1"
"2","2018-09-18 21:30:00","22.24","6.15","-13.1","1.003","38.2","3.32","-999","22.2","3.4","1"
"2","2018-09-18 21:15:00","22.18","6.18","-14.5","1","-99.9","-99.99","-999","28.4","3.395","1"
"2","2018-09-18 21:00:00","22.18","6.22","-16","1","5.1","0.45","-999","69","3.392","1"
"2","2018-09-18 20:45:00","22.17","6.2","-15.1","0.989","650.2","56.52","-999","29.6","3.392","1"
"2","2018-09-18 20:30:00","22.17","6.22","-16.3","0.988","999.9","999.99","-999","25.6","3.388","1"
"2","2018-09-18 20:15:00","22.21","6.23","-16.6","0.99","-99.9","-99.99","-999","27.9","3.389","1"
"2","2018-09-18 20:00:00","22.14","6.23","-16.4","0.989","44.8","3.9","-999","29.7","3.386","1"
"2","2018-09-18 19:45:00","22.2","6.23","-16.5","0.989","29.3","2.55","-999","26.6","3.382","1"
"2","2018-09-18 19:30:00","22.18","6.23","-16.7","0.99","36.4","3.16","-999","28.6","3.374","1"
"2","2018-09-18 19:15:00","22.24","6.25","-17.3","0.989","-99.9","-99.99","-999","41.2","3.375","1"
"2","2018-09-18 19:00:00","22.18","6.25","-17.6","0.99","-1.5","-0.13","-999","49.2","3.367","1"
"2","2018-09-18 18:45:00","22.2","6.25","-17.4","0.991","83.3","7.24","-999","25","3.369","1"
"2","2018-09-18 18:30:00","22.23","6.24","-17","0.989","32.6","2.83","-999","21.6","3.37","1"
"2","2018-09-18 18:15:00","22.18","6.24","-17.1","0.991","-1.8","-0.16","-999","22.3","3.369","1"
"2","2018-09-18 18:00:00","22.22","6.24","-17.1","0.987","999.9","226.08","-999","11.6","3.369","1"
"2","2018-09-18 17:45:00","22.22","6.25","-17.4","0.989","-6.9","-0.6","-999","35.1","3.369","1"
"2","2018-09-18 17:30:00","22.2","6.26","-17.7","0.989","29.8","2.59","-999","25.4","3.356","1"
"2","2018-09-18 17:15:00","22.3","6.31","-19.9","0.987","999.9","999.99","-999","13.6","3.358","1"
"2","2018-09-18 17:00:00","22.18","6.27","-18.2","0.99","999.9","999.99","-999","18.6","3.351","1"
"2","2018-09-18 16:45:00","22.18","6.26","-17.8","0.988","15.5","1.34","-999","14.3","3.352","1"
"2","2018-09-18 16:30:00","22.17","6.25","-17.2","0.989","12.3","1.07","-999","18.7","3.349","1"
"2","2018-09-18 16:15:00","22.18","6.22","-16.3","0.99","-4.7","-0.41","-999","22.6","3.353","1"
"2","2018-09-18 16:00:00","22.18","6.28","-18.8","0.987","19.2","1.67","-999","20.8","3.359","1"
"2","2018-09-18 15:45:00","22.27","6.33","-20.6","0.985","999.9","999.99","-999","26.2","3.37","1"
"2","2018-09-18 15:30:00","22.29","6.35","-21.4","0.99","-49.7","-4.31","-999","30.9","3.369","1"
"2","2018-09-18 15:15:00","22.31","6.31","-19.8","0.989","-3.2","-0.28","-999","26.6","3.364","1"
"2","2018-09-18 15:00:00","22.18","6.24","-17.1","0.991","0.9","0.08","-999","29.1","3.361","1"
"2","2018-09-18 14:45:00","22.17","6.27","-18","0.989","-99.9","-45.88","-999","34.6","3.361","1"
"2","2018-09-18 14:30:00","22.12","6.26","-17.8","0.991","-49","-4.27","-999","27.7","3.344","1"
"2","2018-09-18 14:15:00","22.25","6.29","-19","0.989","-0.9","-0.08","-999","20.6","3.347","1"
