LOCAL,ug/L,Flag,Comment,feet,Flag,Comment,mg/L,Flag,Comment,%saturation,Flag,Comment,pH,Flag,Comment,psu,Flag,Comment,mS/cm,Flag,Comment,NTU/FNU,Flag,Comment,Fahrenheit,Flag,Comment
6/1/2018 0:00,2,0,,8.5694496,0,,6.76,0,,77.2,0,,7.92,0,,4.02,0,,7.284,0,,13.2,0,,69.27000707,0,
6/1/2018 0:15,2.3,0,,8.5891344,0,,6.76,0,,76.4,0,,7.92,0,,4.24,0,,7.649,0,,26.1,0,,68.20000718,0,
6/1/2018 0:30,1.3,0,,8.5891344,0,,7.09,0,,80.4,0,,7.94,0,,4.23,0,,7.632,0,,20.2,0,,68.51000715,0,
6/1/2018 0:45,2,0,,8.5727304,0,,6.91,0,,77.9,0,,7.95,0,,4.49,0,,8.065,0,,23.4,0,,67.80000722,0,
6/1/2018 1:00,1.8,0,,8.513676,0,,7.01,0,,78.7,0,,7.96,0,,4.92,0,,8.777,0,,28.8,0,,67.24000728,0,
6/1/2018 1:15,2,0,,8.4382176,0,,6.83,0,,76.5,0,,7.93,0,,5.36,0,,9.507,0,,36.1,0,,66.82000732,0,
6/1/2018 1:30,2.9,0,,8.3430744,0,,6.8,0,,76.2,0,,7.95,0,,5.58,0,,9.878,0,,39.1,0,,66.66000733,0,
6/1/2018 1:45,1.7,0,,8.2118424,0,,6.73,0,,75.4,0,,7.93,0,,5.74,0,,10.13,0,,38,0,,66.59000734,0,
6/1/2018 2:00,2.2,0,,8.070768,0,,6.67,0,,74.7,0,,7.93,0,,5.91,0,,10.41,0,,34.3,0,,66.45000736,0,
6/1/2018 2:15,2,0,,7.8936048,0,,6.75,0,,75.7,0,,7.93,0,,5.98,0,,10.52,0,,28.3,0,,66.50000735,0,
6/1/2018 2:30,1.7,0,,7.7033184,0,,6.66,0,,74.7,0,,7.92,0,,6.03,0,,10.62,0,,27.3,0,,66.50000735,0,
6/1/2018 2:45,2,0,,7.4572584,0,,6.54,0,,73.3,0,,7.93,0,,6.12,0,,10.76,0,,29.2,0,,66.53000735,0,
6/1/2018 3:00,1.7,0,,7.2046368,0,,6.26,0,,70.1,0,,7.91,0,,6.21,0,,10.9,0,,17.9,0,,66.39000736,0,
6/1/2018 3:15,2.1,0,,6.9257688,0,,6.48,0,,72.7,0,,7.89,0,,6.28,0,,11.01,0,,21.1,0,,66.41000736,0,
6/1/2018 3:30,2.4,0,,6.6567432,0,,6.68,0,,75,0,,7.92,0,,5.94,0,,10.46,0,,33.5,0,,66.74000733,0,
6/1/2018 3:45,2.2,0,,6.4172448,0,,6.89,0,,78,0,,7.96,0,,5.07,0,,9.026,0,,36.7,0,,67.90000721,0,
6/1/2018 4:00,1.7,0,,6.2138352,0,,6.9,0,,78.2,0,,7.96,0,,4.97,0,,8.876,0,,29.4,0,,68.0200072,0,
6/1/2018 4:15,1.6,0,,5.9940216,0,,6.72,0,,76.1,0,,7.89,0,,4.86,0,,8.682,0,,24.2,0,,68.0300072,0,
6/1/2018 4:30,2.4,0,,5.8201392,0,,6.83,0,,77.4,0,,7.91,0,,4.78,0,,8.551,0,,21,0,,68.22000718,0,
6/1/2018 4:45,1.9,0,,5.6364144,0,,6.67,0,,75.7,0,,7.9,0,,4.64,0,,8.319,0,,17.4,0,,68.40000716,0,
6/1/2018 5:00,2.2,0,,5.4526896,0,,7.04,0,,80,0,,7.9,0,,4.59,0,,8.229,0,,16.1,0,,68.46000715,0,
6/1/2018 5:15,2.8,0,,5.2853688,0,,7.18,0,,81.7,0,,7.96,0,,4.5,0,,8.087,0,,16.1,0,,68.62000714,0,
6/1/2018 5:30,3.3,0,,5.101644,0,,7.19,0,,81.7,0,,7.92,0,,4.41,0,,7.933,0,,15.1,0,,68.60000714,0,
6/1/2018 5:45,1.6,0,,4.954008,0,,6.87,0,,78.1,0,,7.9,0,,4.35,0,,7.841,0,,12,0,,68.65000714,0,
6/1/2018 6:00,1.4,0,,4.822776,0,,7.23,0,,82.1,0,,7.92,0,,4.33,0,,7.804,0,,14.3,0,,68.66000713,0,
6/1/2018 6:15,0.8,0,,4.7276328,0,,7.02,0,,79.8,0,,7.92,0,,4.3,0,,7.745,0,,13.4,0,,68.65000714,0,
6/1/2018 6:30,1.7,0,,4.6488936,0,,6.92,0,,78.5,0,,7.91,0,,4.28,0,,7.718,0,,17.9,0,,68.63000714,0,
6/1/2018 6:45,1.6,0,,4.5996816,0,,7,0,,79.5,0,,7.92,0,,4.25,0,,7.663,0,,16.9,0,,68.60000714,0,
6/1/2018 7:00,2.2,0,,4.5832776,0,,7.15,0,,81.1,0,,7.92,0,,4.22,0,,7.613,0,,18.4,0,,68.58000714,0,
6/1/2018 7:15,1.9,0,,4.5964008,0,,6.88,0,,78,0,,7.88,0,,4.16,0,,7.508,0,,25.5,0,,68.50000715,0,
6/1/2018 7:30,2.1,0,,4.7112288,0,,7.06,0,,80,0,,7.85,0,,4.13,0,,7.469,0,,18.2,0,,68.52000715,0,
6/1/2018 7:45,1.9,0,,4.8424608,0,,6.92,0,,78.4,0,,7.83,0,,4.12,0,,7.45,0,,18.6,0,,68.50000715,0,
6/1/2018 8:00,2.5,0,,5.0130624,0,,6.82,0,,77.2,0,,7.81,0,,4.08,0,,7.379,0,,17.5,0,,68.52000715,0,
6/1/2018 8:15,2.7,0,,5.183664,0,,6.86,0,,77.7,0,,7.82,0,,4.07,0,,7.363,0,,20.2,0,,68.52000715,0,
6/1/2018 8:30,3.3,0,,5.3608272,0,,6.99,0,,79.1,0,,7.81,0,,4.02,0,,7.278,0,,17.7,0,,68.55000715,0,
6/1/2018 8:45,2.4,0,,5.5347096,0,,7.26,0,,82.1,0,,7.85,0,,3.76,0,,6.829,0,,41.3,0,,68.60000714,0,
6/1/2018 9:00,3.2,0,,5.7053112,0,,7.37,0,,83.4,0,,7.87,0,,3.79,0,,6.892,0,,27.2,0,,68.65000714,0,
6/1/2018 9:15,2.7,0,,5.8955976,0,,7.44,0,,84.3,0,,7.91,0,,3.78,0,,6.877,0,,29.7,0,,68.67000713,0,
6/1/2018 9:30,2.6,0,,6.1088496,0,,7.46,0,,84.5,0,,7.92,0,,3.81,0,,6.926,0,,28.8,0,,68.66000713,0,
6/1/2018 9:45,3,0,,6.3549096,0,,7.36,0,,83.4,0,,7.91,0,,3.91,0,,7.093,0,,32,0,,68.63000714,0,
6/1/2018 10:00,3.5,0,,6.5583192,0,,7.39,0,,83.8,0,,7.92,0,,3.88,0,,7.041,0,,32.5,0,,68.66000713,0,
6/1/2018 10:15,2.9,0,,6.7781328,0,,7.06,0,,80.1,0,,7.97,0,,3.93,0,,7.132,0,,31.7,0,,68.74000713,0,
6/1/2018 10:30,2.9,0,,6.9487344,0,,7.2,0,,81.8,0,,8.01,0,,4.03,0,,7.29,0,,26,0,,68.76000712,0,
6/1/2018 10:45,2.7,0,,7.1160552,0,,7.27,0,,82.7,0,,8.01,0,,4.09,0,,7.404,0,,25.4,0,,68.85000712,0,
6/1/2018 11:00,2.4,0,,7.266972,0,,7.24,0,,82.4,0,,7.98,0,,4.15,0,,7.5,0,,27.5,0,,68.90000711,0,
6/1/2018 11:15,3.8,0,,7.4211696,0,,7.23,0,,82.4,0,,7.99,0,,4.19,0,,7.558,0,,30.4,0,,68.9800071,0,
6/1/2018 11:30,3.3,0,,7.5524016,0,,7.29,0,,83.2,0,,7.99,0,,4.15,0,,7.498,0,,22.6,0,,69.15000709,0,
6/1/2018 11:45,3.6,0,,7.660668,0,,7.2,0,,82.3,0,,7.97,0,,4.18,0,,7.553,0,,18.1,0,,69.27000707,0,
6/1/2018 12:00,3.9,0,,7.7558112,0,,7.18,0,,82.1,0,,7.97,0,,4.19,0,,7.575,0,,19.9,0,,69.40000706,0,
6/1/2018 12:15,3,0,,7.8312696,0,,7.25,0,,83.2,0,,7.98,0,,4.2,0,,7.588,0,,21.3,0,,69.59000704,0,
6/1/2018 12:30,3.8,0,,7.8772008,0,,7.15,0,,82.2,0,,7.98,0,,4.21,0,,7.599,0,,19.7,0,,69.71000703,0,
6/1/2018 12:45,4.1,0,,7.8936048,0,,7.2,0,,82.8,0,,7.98,0,,4.21,0,,7.604,0,,17.9,0,,69.85000702,0,
6/1/2018 13:00,5.6,0,,7.8936048,0,,7.05,0,,81.2,0,,7.98,0,,4.21,0,,7.603,0,,16.1,0,,69.990007,0,
6/1/2018 13:15,3.7,0,,7.8476736,0,,7.12,0,,82.4,0,,7.93,0,,4.15,0,,7.498,0,,18.1,0,,70.34000697,0,
6/1/2018 13:30,3.4,0,,7.7820576,0,,7.38,0,,85.2,0,,7.93,0,,4.08,0,,7.382,0,,18.2,0,,70.29000697,0,
6/1/2018 13:45,3,0,,7.6901952,0,,7.49,0,,86.3,0,,7.92,0,,4.02,0,,7.275,0,,17.4,0,,70.10000699,0,
6/1/2018 14:00,1.6,0,,7.595052,0,,7.35,0,,84.1,0,,7.91,0,,4.05,0,,7.333,0,,16.6,0,,69.48000705,0,
6/1/2018 14:15,1.9,0,,7.447416,0,,7.23,0,,82.2,0,,7.92,0,,4.12,0,,7.444,0,,19.8,0,,68.89000711,0,
6/1/2018 14:30,1.5,0,,7.283376,0,,7.11,0,,80.3,0,,7.92,0,,4.34,0,,7.817,0,,20.1,0,,68.12000719,0,
6/1/2018 14:45,1.4,0,,7.0963704,0,,6.77,0,,76.3,0,,7.91,0,,4.58,0,,8.217,0,,18.6,0,,67.76000722,0,
6/1/2018 15:00,1.4,0,,6.8929608,0,,6.48,0,,73,0,,7.89,0,,4.73,0,,8.464,0,,20.2,0,,67.60000724,0,
6/1/2018 15:15,1.3,0,,6.6501816,0,,6.19,0,,69.6,0,,7.87,0,,4.92,0,,8.775,0,,17.8,0,,67.42000726,0,
6/1/2018 15:30,2.1,0,,6.4238064,0,,6.9,0,,78.2,0,,7.9,0,,4.8,0,,8.581,0,,23.1,0,,68.11000719,0,
6/1/2018 15:45,2.4,0,,6.1974312,0,,7.15,0,,81.5,0,,7.93,0,,4.46,0,,8.011,0,,35.5,0,,68.84000712,0,
6/1/2018 16:00,2.1,0,,5.9940216,0,,7.18,0,,82,0,,7.95,0,,4.44,0,,7.978,0,,27.8,0,,69.0100071,0,
6/1/2018 16:15,2.5,0,,5.8004544,0,,7.27,0,,83.1,0,,7.96,0,,4.24,0,,7.65,0,,32.9,0,,69.27000707,0,
6/1/2018 16:30,1.6,0,,5.6626608,0,,7.39,0,,84.6,0,,7.95,0,,4.14,0,,7.486,0,,30.4,0,,69.43000706,0,
6/1/2018 16:45,2.8,0,,5.5051824,0,,7.46,0,,85.5,0,,7.97,0,,4.03,0,,7.303,0,,29,0,,69.67000703,0,
6/1/2018 17:00,2.2,0,,5.3870736,0,,7.28,0,,83.4,0,,8.01,0,,4.03,0,,7.298,0,,22.4,0,,69.63000704,0,
6/1/2018 17:15,2.4,0,,5.2361568,0,,7.22,0,,82.8,0,,8.02,0,,4.02,0,,7.279,0,,26,0,,69.68000703,0,
6/1/2018 17:30,2.3,0,,5.118048,0,,7.18,0,,82.5,0,,8.01,0,,3.98,0,,7.221,0,,17.2,0,,69.79000702,0,
6/1/2018 17:45,2.6,0,,5.0065008,0,,7.14,0,,82.1,0,,7.94,0,,3.99,0,,7.23,0,,16.4,0,,69.93000701,0,
6/1/2018 18:00,2.4,0,,4.9244808,0,,7.24,0,,83.5,0,,8.01,0,,3.91,0,,7.097,0,,16.5,0,,70.20000698,0,
6/1/2018 18:15,2,0,,4.8621456,0,,7.01,0,,80.9,0,,7.99,0,,3.9,0,,7.076,0,,17.3,0,,70.31000697,0,
6/1/2018 18:30,2,0,,4.8588648,0,,6.97,0,,80.9,0,,7.97,0,,3.89,0,,7.057,0,,14.5,0,,70.79000692,0,
6/1/2018 18:45,3.3,0,,4.855584,0,,7.44,0,,87.1,0,,8.03,0,,3.88,0,,7.053,0,,14.2,0,,71.64000684,0,
6/1/2018 19:00,2.6,0,,4.9146384,0,,7.23,0,,84.4,0,,8.01,0,,3.91,0,,7.094,0,,14.3,0,,71.46000685,0,
6/1/2018 19:15,1.4,0,,5.019624,0,,7.13,0,,83.1,0,,7.96,0,,3.92,0,,7.112,0,,10.6,0,,71.29000687,0,
6/1/2018 19:30,2.4,0,,5.1311712,0,,7.74,0,,90.6,0,,7.97,0,,3.87,0,,7.032,0,,14,0,,71.73000683,0,
6/1/2018 19:45,3.5,0,,5.2722456,0,,7.62,0,,89.6,0,,7.99,0,,3.84,0,,6.977,0,,12.7,0,,72.10000679,0,
6/1/2018 20:00,1.4,0,,5.3870736,0,,7.65,0,,90.3,0,,7.97,0,,3.83,0,,6.964,0,,12.9,0,,72.47000675,0,
6/1/2018 20:15,4,0,,5.5576752,0,,7.71,0,,90.3,0,,7.95,0,,3.82,0,,6.943,0,,26.5,0,,71.84000682,0,
6/1/2018 20:30,4.2,0,,5.7479616,0,,8.16,0,,96.1,0,,7.94,0,,3.8,0,,6.914,0,,26.4,0,,72.25000678,0,
6/1/2018 20:45,4.4,0,,5.938248,0,,8.04,0,,94.4,0,,7.97,0,,3.87,0,,7.027,0,,30.3,0,,71.9900068,0,
